[2025-11-14 13:13:26.688] [info]  DiscordSplash.signalReady
[2025-11-14 13:13:26.695] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-11-14 13:13:26.695] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-11-14 13:13:26.695] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-11-14 13:13:26.696] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-11-14 13:13:26.697] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-11-14 13:13:26.698] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-11-14 13:13:26.699] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-11-14 13:13:26.699] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-11-14 13:13:26.700] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-11-14 13:13:26.700] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-11-14 13:13:26.704] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-11-14 13:13:26.704] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-11-14 13:13:26.711] [info]  DiscordSplash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-11-14 13:13:26.712] [info]  Splash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-11-14 13:13:27.222] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-11-14 13:13:27.222] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-11-14 13:13:27.688] [info]  Splash.updateCountdownSeconds: undefined
[2025-11-14 13:13:27.984] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2025-11-14 13:13:27.985] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
